Algorytm;Rozmiar;Repetycje;Iteracje_RAND;Koszt;Optimum;Blad_wzgledny_%;Czas_us 
BB_BEST;5;1;16;181;181;0.00;30
BB_BEST;5;1;16;192;192;0.00;36
BB_BEST;5;1;16;217;217;0.00;29
BB_BEST;5;1;16;143;143;0.00;28
BB_BEST;5;1;16;181;181;0.00;53
BB_BEST;5;1;16;201;201;0.00;35
BB_BEST;5;1;16;194;194;0.00;28
BB_BEST;5;1;16;128;128;0.00;33
BB_BEST;5;1;16;82;82;0.00;31
BB_BEST;5;1;16;125;125;0.00;29
BB_BEST;5;1;16;152;152;0.00;29
BB_BEST;5;1;16;118;118;0.00;28
BB_BEST;5;1;16;172;172;0.00;29
BB_BEST;5;1;16;114;114;0.00;28
BB_BEST;5;1;16;122;122;0.00;29
BB_BEST;5;1;16;184;184;0.00;36
BB_BEST;5;1;16;171;171;0.00;29
BB_BEST;5;1;16;102;102;0.00;29
BB_BEST;5;1;16;196;196;0.00;29
BB_BEST;5;1;16;143;143;0.00;34
BB_BEST;6;1;54;87;87;0.00;44
BB_BEST;6;1;54;139;139;0.00;44
BB_BEST;6;1;54;211;211;0.00;65
BB_BEST;6;1;54;197;197;0.00;58
BB_BEST;6;1;54;183;183;0.00;52
BB_BEST;6;1;54;187;187;0.00;43
BB_BEST;6;1;54;220;220;0.00;70
BB_BEST;6;1;54;174;174;0.00;43
BB_BEST;6;1;54;89;89;0.00;44
BB_BEST;6;1;54;89;89;0.00;48
BB_BEST;6;1;54;158;158;0.00;43
BB_BEST;6;1;54;117;117;0.00;46
BB_BEST;6;1;54;104;104;0.00;54
BB_BEST;6;1;54;202;202;0.00;56
BB_BEST;6;1;54;86;86;0.00;52
BB_BEST;6;1;54;133;133;0.00;75
BB_BEST;6;1;54;133;133;0.00;80
BB_BEST;6;1;54;157;157;0.00;65
BB_BEST;6;1;54;138;138;0.00;45
BB_BEST;6;1;54;190;190;0.00;43
BB_BEST;7;1;360;168;168;0.00;82
BB_BEST;7;1;360;144;144;0.00;109
BB_BEST;7;1;360;139;139;0.00;80
BB_BEST;7;1;360;173;173;0.00;98
BB_BEST;7;1;360;116;116;0.00;110
BB_BEST;7;1;360;125;125;0.00;64
BB_BEST;7;1;360;173;173;0.00;83
BB_BEST;7;1;360;143;143;0.00;64
BB_BEST;7;1;360;135;135;0.00;63
BB_BEST;7;1;360;165;165;0.00;75
BB_BEST;7;1;360;128;128;0.00;70
BB_BEST;7;1;360;201;201;0.00;78
BB_BEST;7;1;360;99;99;0.00;78
BB_BEST;7;1;360;122;122;0.00;91
BB_BEST;7;1;360;129;129;0.00;91
BB_BEST;7;1;360;219;219;0.00;132
BB_BEST;7;1;360;188;188;0.00;91
BB_BEST;7;1;360;149;149;0.00;84
BB_BEST;7;1;360;105;105;0.00;69
BB_BEST;7;1;360;214;214;0.00;95
BB_BEST;8;1;1764;138;138;0.00;109
BB_BEST;8;1;1764;215;215;0.00;210
BB_BEST;8;1;1764;168;168;0.00;156
BB_BEST;8;1;1764;162;162;0.00;148
BB_BEST;8;1;1764;160;160;0.00;106
BB_BEST;8;1;1764;182;182;0.00;111
BB_BEST;8;1;1764;140;140;0.00;164
BB_BEST;8;1;1764;147;147;0.00;246
BB_BEST;8;1;1764;212;212;0.00;228
BB_BEST;8;1;1764;148;148;0.00;197
BB_BEST;8;1;1764;110;110;0.00;92
BB_BEST;8;1;1764;208;208;0.00;210
BB_BEST;8;1;1764;130;130;0.00;165
BB_BEST;8;1;1764;125;125;0.00;135
BB_BEST;8;1;1764;137;137;0.00;96
BB_BEST;8;1;1764;158;158;0.00;106
BB_BEST;8;1;1764;149;149;0.00;205
BB_BEST;8;1;1764;163;163;0.00;212
BB_BEST;8;1;1764;218;218;0.00;287
BB_BEST;8;1;1764;205;205;0.00;90
BB_BEST;9;1;14100;179;179;0.00;210
BB_BEST;9;1;14100;154;154;0.00;166
BB_BEST;9;1;14100;198;198;0.00;175
BB_BEST;9;1;14100;138;138;0.00;137
BB_BEST;9;1;14100;158;158;0.00;139
BB_BEST;9;1;14100;202;202;0.00;848
BB_BEST;9;1;14100;134;134;0.00;184
BB_BEST;9;1;14100;164;164;0.00;317
BB_BEST;9;1;14100;129;129;0.00;385
BB_BEST;9;1;14100;188;188;0.00;475
BB_BEST;9;1;14100;176;176;0.00;352
BB_BEST;9;1;14100;143;143;0.00;593
BB_BEST;9;1;14100;146;146;0.00;142
BB_BEST;9;1;14100;203;203;0.00;282
BB_BEST;9;1;14100;214;214;0.00;349
