Algorytm;Rozmiar;Repetycje;Iteracje_RAND;Koszt;Optimum;Blad_wzgledny_%;Czas_us 
BB_BEST;5;1;4;175;175;0.00;274
BB_BEST;5;1;4;169;169;0.00;43
BB_BEST;5;1;4;215;215;0.00;38
BB_BEST;5;1;4;211;211;0.00;43
BB_BEST;5;1;4;52;52;0.00;38
BB_BEST;5;1;4;67;67;0.00;37
BB_BEST;5;1;4;221;221;0.00;39
BB_BEST;5;1;4;272;272;0.00;36
BB_BEST;5;1;4;161;161;0.00;36
BB_BEST;5;1;4;189;189;0.00;46
BB_BEST;5;1;4;109;109;0.00;46
BB_BEST;5;1;4;101;101;0.00;37
BB_BEST;5;1;4;152;152;0.00;47
BB_BEST;5;1;4;236;236;0.00;44
BB_BEST;5;1;4;138;138;0.00;51
BB_BEST;5;1;4;222;222;0.00;57
BB_BEST;5;1;4;183;183;0.00;49
BB_BEST;5;1;4;148;148;0.00;49
BB_BEST;5;1;4;133;133;0.00;42
BB_BEST;5;1;4;242;242;0.00;41
BB_BEST;6;1;27;145;145;0.00;78
BB_BEST;6;1;27;232;232;0.00;94
BB_BEST;6;1;27;180;180;0.00;103
BB_BEST;6;1;27;185;185;0.00;92
BB_BEST;6;1;27;149;149;0.00;94
BB_BEST;6;1;27;160;160;0.00;121
BB_BEST;6;1;27;194;194;0.00;112
BB_BEST;6;1;27;223;223;0.00;63
BB_BEST;6;1;27;167;167;0.00;78
BB_BEST;6;1;27;194;194;0.00;61
BB_BEST;6;1;27;185;185;0.00;77
BB_BEST;6;1;27;167;167;0.00;74
BB_BEST;6;1;27;108;108;0.00;63
BB_BEST;6;1;27;211;211;0.00;79
BB_BEST;6;1;27;231;231;0.00;81
BB_BEST;6;1;27;187;187;0.00;70
BB_BEST;6;1;27;172;172;0.00;60
BB_BEST;6;1;27;225;225;0.00;61
BB_BEST;6;1;27;183;183;0.00;64
BB_BEST;6;1;27;117;117;0.00;89
BB_BEST;7;1;36;101;101;0.00;191
BB_BEST;7;1;36;243;243;0.00;148
BB_BEST;7;1;36;294;294;0.00;391
BB_BEST;7;1;36;168;168;0.00;130
BB_BEST;7;1;36;222;222;0.00;192
BB_BEST;7;1;36;160;160;0.00;101
BB_BEST;7;1;36;215;215;0.00;174
BB_BEST;7;1;36;292;292;0.00;204
BB_BEST;7;1;36;139;139;0.00;94
BB_BEST;7;1;36;215;215;0.00;239
BB_BEST;7;1;36;208;208;0.00;179
BB_BEST;7;1;36;260;260;0.00;231
BB_BEST;7;1;36;210;210;0.00;210
BB_BEST;7;1;36;187;187;0.00;226
BB_BEST;7;1;36;265;265;0.00;150
BB_BEST;7;1;36;226;226;0.00;200
BB_BEST;7;1;36;125;125;0.00;111
BB_BEST;7;1;36;121;121;0.00;159
BB_BEST;7;1;36;232;232;0.00;170
BB_BEST;7;1;36;216;216;0.00;107
BB_BEST;8;1;882;195;195;0.00;594
BB_BEST;8;1;882;204;204;0.00;1931
BB_BEST;8;1;882;227;227;0.00;214
BB_BEST;8;1;882;179;179;0.00;614
BB_BEST;8;1;882;247;247;0.00;333
BB_BEST;8;1;882;329;329;0.00;630
BB_BEST;8;1;882;178;178;0.00;336
BB_BEST;8;1;882;172;172;0.00;501
BB_BEST;8;1;882;202;202;0.00;519
BB_BEST;8;1;882;155;155;0.00;237
BB_BEST;8;1;882;277;277;0.00;575
BB_BEST;8;1;882;185;185;0.00;505
BB_BEST;8;1;882;224;224;0.00;267
BB_BEST;8;1;882;213;213;0.00;523
BB_BEST;8;1;882;138;138;0.00;330
BB_BEST;8;1;882;126;126;0.00;310
BB_BEST;8;1;882;119;119;0.00;346
BB_BEST;8;1;882;293;293;0.00;741
BB_BEST;8;1;882;167;167;0.00;367
BB_BEST;8;1;882;144;144;0.00;513
BB_BEST;9;1;1008;76;76;0.00;401
BB_BEST;9;1;1008;198;198;0.00;1182
BB_BEST;9;1;1008;131;131;0.00;857
BB_BEST;9;1;1008;172;172;0.00;898
BB_BEST;9;1;1008;175;175;0.00;739
BB_BEST;9;1;1008;189;189;0.00;1413
BB_BEST;9;1;1008;232;232;0.00;1062
BB_BEST;9;1;1008;239;239;0.00;1080
BB_BEST;9;1;1008;191;191;0.00;1339
BB_BEST;9;1;1008;225;225;0.00;453
BB_BEST;9;1;1008;223;223;0.00;1600
BB_BEST;9;1;1008;271;271;0.00;1511
BB_BEST;9;1;1008;295;295;0.00;2994
BB_BEST;9;1;1008;183;183;0.00;775
BB_BEST;9;1;1008;134;134;0.00;521
BB_BEST;9;1;1008;117;117;0.00;1364
BB_BEST;9;1;1008;189;189;0.00;895
BB_BEST;9;1;1008;249;249;0.00;965
BB_BEST;9;1;1008;166;166;0.00;487
BB_BEST;9;1;1008;166;166;0.00;578
BB_BEST;10;1;9072;195;195;0.00;3394
BB_BEST;10;1;9072;184;184;0.00;1594
BB_BEST;10;1;9072;200;200;0.00;4130
BB_BEST;10;1;9072;142;142;0.00;1356
BB_BEST;10;1;9072;246;246;0.00;1236
BB_BEST;10;1;9072;191;191;0.00;1555
BB_BEST;10;1;9072;292;292;0.00;1131
BB_BEST;10;1;9072;121;121;0.00;503
BB_BEST;10;1;9072;158;158;0.00;2865
BB_BEST;10;1;9072;217;217;0.00;2075
BB_BEST;10;1;9072;190;190;0.00;770
BB_BEST;10;1;9072;148;148;0.00;2187
BB_BEST;10;1;9072;245;245;0.00;2530
BB_BEST;10;1;9072;163;163;0.00;1556
BB_BEST;10;1;9072;191;191;0.00;900
BB_BEST;10;1;9072;181;181;0.00;9028
BB_BEST;10;1;9072;243;243;0.00;1645
BB_BEST;10;1;9072;213;213;0.00;3539
BB_BEST;10;1;9072;256;256;0.00;3289
BB_BEST;10;1;9072;125;125;0.00;1913
BB_BEST;11;1;181000;156;156;0.00;862
BB_BEST;11;1;181000;219;219;0.00;4046
BB_BEST;11;1;181000;135;135;0.00;2545
