Algorytm;Rozmiar;Repetycje;Iteracje_RAND;Koszt;Optimum;Blad_wzgledny_%;Czas_us 
BB_BFS;5;1;1000;358;358;0.00;64
BB_BFS;5;1;1000;338;338;0.00;65
BB_BFS;5;1;1000;434;434;0.00;123
BB_BFS;5;1;1000;286;286;0.00;66
BB_BFS;5;1;1000;356;356;0.00;64
BB_BFS;5;1;1000;386;386;0.00;65
BB_BFS;5;1;1000;388;388;0.00;66
BB_BFS;5;1;1000;256;256;0.00;68
BB_BFS;5;1;1000;164;164;0.00;66
BB_BFS;5;1;1000;246;246;0.00;68
BB_BFS;5;1;1000;295;295;0.00;65
BB_BFS;5;1;1000;233;233;0.00;64
BB_BFS;5;1;1000;344;344;0.00;65
BB_BFS;5;1;1000;228;228;0.00;64
BB_BFS;5;1;1000;244;244;0.00;64
BB_BFS;5;1;1000;368;368;0.00;65
BB_BFS;5;1;1000;342;342;0.00;64
BB_BFS;5;1;1000;204;204;0.00;64
BB_BFS;5;1;1000;392;392;0.00;64
BB_BFS;5;1;1000;277;277;0.00;65
BB_BFS;6;1;1000;165;165;0.00;338
BB_BFS;6;1;1000;265;265;0.00;312
BB_BFS;6;1;1000;395;395;0.00;314
BB_BFS;6;1;1000;394;394;0.00;311
BB_BFS;6;1;1000;366;366;0.00;308
BB_BFS;6;1;1000;374;374;0.00;310
BB_BFS;6;1;1000;404;404;0.00;314
BB_BFS;6;1;1000;324;324;0.00;312
BB_BFS;6;1;1000;157;157;0.00;316
BB_BFS;6;1;1000;178;178;0.00;315
BB_BFS;6;1;1000;300;300;0.00;308
BB_BFS;6;1;1000;234;234;0.00;305
BB_BFS;6;1;1000;205;205;0.00;313
BB_BFS;6;1;1000;367;367;0.00;304
BB_BFS;6;1;1000;172;172;0.00;307
BB_BFS;6;1;1000;252;252;0.00;320
BB_BFS;6;1;1000;254;254;0.00;307
BB_BFS;6;1;1000;302;302;0.00;315
BB_BFS;6;1;1000;245;245;0.00;309
BB_BFS;6;1;1000;380;380;0.00;323
BB_BFS;7;1;1000;336;336;0.00;1829
BB_BFS;7;1;1000;277;277;0.00;1891
BB_BFS;7;1;1000;278;278;0.00;1900
BB_BFS;7;1;1000;327;327;0.00;1837
BB_BFS;7;1;1000;213;213;0.00;1858
BB_BFS;7;1;1000;236;236;0.00;2391
BB_BFS;7;1;1000;341;341;0.00;1964
BB_BFS;7;1;1000;286;286;0.00;1905
BB_BFS;7;1;1000;265;265;0.00;1895
BB_BFS;7;1;1000;298;298;0.00;1881
BB_BFS;7;1;1000;254;254;0.00;1926
BB_BFS;7;1;1000;402;402;0.00;1900
BB_BFS;7;1;1000;198;198;0.00;2045
BB_BFS;7;1;1000;240;240;0.00;1947
BB_BFS;7;1;1000;237;237;0.00;2006
BB_BFS;7;1;1000;438;438;0.00;1963
BB_BFS;7;1;1000;338;338;0.00;1922
BB_BFS;7;1;1000;281;281;0.00;2096
BB_BFS;7;1;1000;207;207;0.00;1909
BB_BFS;7;1;1000;397;397;0.00;1818
BB_BFS;8;1;1000;267;267;0.00;17638
BB_BFS;8;1;1000;425;425;0.00;18432
BB_BFS;8;1;1000;324;324;0.00;15969
BB_BFS;8;1;1000;287;287;0.00;15425
BB_BFS;8;1;1000;311;311;0.00;14785
BB_BFS;8;1;1000;358;358;0.00;14897
BB_BFS;8;1;1000;278;278;0.00;16979
BB_BFS;8;1;1000;268;268;0.00;14570
BB_BFS;8;1;1000;393;393;0.00;14912
BB_BFS;8;1;1000;270;270;0.00;15185
BB_BFS;8;1;1000;220;220;0.00;14113
BB_BFS;8;1;1000;393;393;0.00;14168
BB_BFS;8;1;1000;260;260;0.00;14802
BB_BFS;8;1;1000;248;248;0.00;14404
BB_BFS;8;1;1000;269;269;0.00;14129
BB_BFS;8;1;1000;316;316;0.00;13830
BB_BFS;8;1;1000;276;276;0.00;14149
BB_BFS;8;1;1000;293;293;0.00;14510
