Algorytm;Rozmiar;Repetycje;Iteracje_RAND;Koszt;Optimum;Blad_wzgledny_%;Czas_us 
BB_BFS;5;1;4;175;175;0.00;60
BB_BFS;5;1;4;169;169;0.00;60
BB_BFS;5;1;4;215;215;0.00;58
BB_BFS;5;1;4;211;211;0.00;70
BB_BFS;5;1;4;52;52;0.00;57
BB_BFS;5;1;4;67;67;0.00;59
BB_BFS;5;1;4;221;221;0.00;60
BB_BFS;5;1;4;272;272;0.00;70
BB_BFS;5;1;4;161;161;0.00;59
BB_BFS;5;1;4;189;189;0.00;240
BB_BFS;5;1;4;109;109;0.00;57
BB_BFS;5;1;4;101;101;0.00;58
BB_BFS;5;1;4;152;152;0.00;57
BB_BFS;5;1;4;236;236;0.00;71
BB_BFS;5;1;4;138;138;0.00;58
BB_BFS;5;1;4;222;222;0.00;66
BB_BFS;5;1;4;183;183;0.00;57
BB_BFS;5;1;4;148;148;0.00;58
BB_BFS;5;1;4;133;133;0.00;76
BB_BFS;5;1;4;242;242;0.00;57
BB_BFS;6;1;27;145;145;0.00;280
BB_BFS;6;1;27;232;232;0.00;284
BB_BFS;6;1;27;180;180;0.00;314
BB_BFS;6;1;27;185;185;0.00;285
BB_BFS;6;1;27;149;149;0.00;289
BB_BFS;6;1;27;160;160;0.00;346
BB_BFS;6;1;27;194;194;0.00;285
BB_BFS;6;1;27;223;223;0.00;283
BB_BFS;6;1;27;167;167;0.00;284
BB_BFS;6;1;27;194;194;0.00;323
BB_BFS;6;1;27;185;185;0.00;350
BB_BFS;6;1;27;167;167;0.00;342
BB_BFS;6;1;27;108;108;0.00;297
BB_BFS;6;1;27;211;211;0.00;388
BB_BFS;6;1;27;231;231;0.00;281
BB_BFS;6;1;27;187;187;0.00;281
BB_BFS;6;1;27;172;172;0.00;344
BB_BFS;6;1;27;225;225;0.00;279
BB_BFS;6;1;27;183;183;0.00;283
BB_BFS;6;1;27;117;117;0.00;283
BB_BFS;7;1;36;101;101;0.00;1792
BB_BFS;7;1;36;243;243;0.00;2090
BB_BFS;7;1;36;294;294;0.00;1799
BB_BFS;7;1;36;168;168;0.00;2081
BB_BFS;7;1;36;222;222;0.00;1881
BB_BFS;7;1;36;160;160;0.00;1798
BB_BFS;7;1;36;215;215;0.00;1773
BB_BFS;7;1;36;292;292;0.00;1834
BB_BFS;7;1;36;139;139;0.00;1805
BB_BFS;7;1;36;215;215;0.00;1825
BB_BFS;7;1;36;208;208;0.00;1876
BB_BFS;7;1;36;260;260;0.00;1916
BB_BFS;7;1;36;210;210;0.00;2165
BB_BFS;7;1;36;187;187;0.00;1832
BB_BFS;7;1;36;265;265;0.00;1804
BB_BFS;7;1;36;226;226;0.00;2053
BB_BFS;7;1;36;125;125;0.00;2390
BB_BFS;7;1;36;121;121;0.00;1832
BB_BFS;7;1;36;232;232;0.00;1985
BB_BFS;7;1;36;216;216;0.00;1836
BB_BFS;8;1;882;195;195;0.00;14783
BB_BFS;8;1;882;204;204;0.00;14581
BB_BFS;8;1;882;227;227;0.00;14012
BB_BFS;8;1;882;179;179;0.00;13889
BB_BFS;8;1;882;247;247;0.00;14129
BB_BFS;8;1;882;329;329;0.00;15421
BB_BFS;8;1;882;178;178;0.00;13424
BB_BFS;8;1;882;172;172;0.00;13840
BB_BFS;8;1;882;202;202;0.00;14105
BB_BFS;8;1;882;155;155;0.00;13755
BB_BFS;8;1;882;277;277;0.00;13379
BB_BFS;8;1;882;185;185;0.00;15642
BB_BFS;8;1;882;224;224;0.00;13510
BB_BFS;8;1;882;213;213;0.00;13843
BB_BFS;8;1;882;138;138;0.00;13538
BB_BFS;8;1;882;126;126;0.00;13526
BB_BFS;8;1;882;119;119;0.00;13322
BB_BFS;8;1;882;293;293;0.00;13426
BB_BFS;8;1;882;167;167;0.00;13444
BB_BFS;8;1;882;144;144;0.00;13538
BB_BFS;9;1;1008;76;76;0.00;134360
BB_BFS;9;1;1008;198;198;0.00;142952
BB_BFS;9;1;1008;131;131;0.00;131431
BB_BFS;9;1;1008;172;172;0.00;132018
BB_BFS;9;1;1008;175;175;0.00;137156
BB_BFS;9;1;1008;189;189;0.00;131453
BB_BFS;9;1;1008;232;232;0.00;133323
BB_BFS;9;1;1008;239;239;0.00;132328
BB_BFS;9;1;1008;191;191;0.00;131060
BB_BFS;9;1;1008;225;225;0.00;131861
BB_BFS;9;1;1008;223;223;0.00;137256
BB_BFS;9;1;1008;271;271;0.00;132160
BB_BFS;9;1;1008;295;295;0.00;131478
BB_BFS;9;1;1008;183;183;0.00;133145
BB_BFS;9;1;1008;134;134;0.00;131091
BB_BFS;9;1;1008;117;117;0.00;131478
BB_BFS;9;1;1008;189;189;0.00;132577
BB_BFS;9;1;1008;249;249;0.00;132627
BB_BFS;9;1;1008;166;166;0.00;133505
BB_BFS;9;1;1008;166;166;0.00;131351
BB_BFS;10;1;9072;195;195;0.00;1331924
BB_BFS;10;1;9072;184;184;0.00;1300307
BB_BFS;10;1;9072;200;200;0.00;1310778
BB_BFS;10;1;9072;142;142;0.00;1314082
BB_BFS;10;1;9072;246;246;0.00;1308441
BB_BFS;10;1;9072;191;191;0.00;1307611
BB_BFS;10;1;9072;292;292;0.00;1288337
BB_BFS;10;1;9072;121;121;0.00;1297204
BB_BFS;10;1;9072;158;158;0.00;1298133
BB_BFS;10;1;9072;217;217;0.00;1297667
BB_BFS;10;1;9072;190;190;0.00;1300709
BB_BFS;10;1;9072;148;148;0.00;1298776
BB_BFS;10;1;9072;245;245;0.00;1323147
BB_BFS;10;1;9072;163;163;0.00;1390387
BB_BFS;10;1;9072;191;191;0.00;1300014
BB_BFS;10;1;9072;181;181;0.00;1307773
BB_BFS;10;1;9072;243;243;0.00;1303050
BB_BFS;10;1;9072;213;213;0.00;1334910
BB_BFS;10;1;9072;256;256;0.00;1351322
BB_BFS;10;1;9072;125;125;0.00;1290319
BB_BFS;11;1;181000;156;156;0.00;15707309
BB_BFS;11;1;181000;219;219;0.00;15808224
BB_BFS;11;1;181000;135;135;0.00;15623253
BB_BFS;11;1;181000;182;182;0.00;15341545
BB_BFS;11;1;181000;218;218;0.00;15420031
BB_BFS;11;1;181000;179;179;0.00;15675746
BB_BFS;11;1;181000;199;199;0.00;16042765
BB_BFS;11;1;181000;229;229;0.00;15469849
BB_BFS;11;1;181000;211;211;0.00;15371196
BB_BFS;11;1;181000;187;187;0.00;15388550
BB_BFS;11;1;181000;192;192;0.00;15323288
BB_BFS;11;1;181000;183;183;0.00;15757080
BB_BFS;11;1;181000;193;193;0.00;15365166
BB_BFS;11;1;181000;187;187;0.00;15994110
BB_BFS;11;1;181000;195;195;0.00;15409521
BB_BFS;11;1;181000;256;256;0.00;15343738
BB_BFS;11;1;181000;136;136;0.00;15993939
BB_BFS;11;1;181000;211;211;0.00;15876836
BB_BFS;11;1;181000;217;217;0.00;15472776
BB_BFS;11;1;181000;197;197;0.00;15392758
BB_BFS;12;1;2990000;120;120;0.00;532089988
BB_BFS;12;1;2990000;297;297;0.00;500405232
BB_BFS;12;1;2990000;219;219;0.00;498812835
BB_BFS;12;1;2990000;146;146;0.00;491929211
BB_BFS;12;1;2990000;213;213;0.00;519872085
BB_BFS;12;1;2990000;231;231;0.00;503433041
BB_BFS;12;1;2990000;269;269;0.00;503230027
BB_BFS;12;1;2990000;130;130;0.00;495257228
BB_BFS;12;1;2990000;218;218;0.00;500461580
BB_BFS;12;1;2990000;142;142;0.00;494785664
BB_BFS;12;1;2990000;246;246;0.00;498022124
