Algorytm;Rozmiar;Repetycje;Iteracje_RAND;Koszt;Optimum;Blad_wzgledny_%;Czas_us 
BB_DFS;5;1;1000;358;358;0.00;58
BB_DFS;5;1;1000;338;338;0.00;42
BB_DFS;5;1;1000;434;434;0.00;48
BB_DFS;5;1;1000;286;286;0.00;50
BB_DFS;5;1;1000;356;356;0.00;39
BB_DFS;5;1;1000;386;386;0.00;44
BB_DFS;5;1;1000;388;388;0.00;63
BB_DFS;5;1;1000;256;256;0.00;44
BB_DFS;5;1;1000;164;164;0.00;35
BB_DFS;5;1;1000;246;246;0.00;34
BB_DFS;5;1;1000;295;295;0.00;38
BB_DFS;5;1;1000;233;233;0.00;40
BB_DFS;5;1;1000;344;344;0.00;33
BB_DFS;5;1;1000;228;228;0.00;48
BB_DFS;5;1;1000;244;244;0.00;33
BB_DFS;5;1;1000;368;368;0.00;40
BB_DFS;5;1;1000;342;342;0.00;51
BB_DFS;5;1;1000;204;204;0.00;29
BB_DFS;5;1;1000;392;392;0.00;46
BB_DFS;5;1;1000;277;277;0.00;38
BB_DFS;6;1;1000;165;165;0.00;92
BB_DFS;6;1;1000;265;265;0.00;114
BB_DFS;6;1;1000;395;395;0.00;175
BB_DFS;6;1;1000;394;394;0.00;99
BB_DFS;6;1;1000;366;366;0.00;154
BB_DFS;6;1;1000;374;374;0.00;86
BB_DFS;6;1;1000;404;404;0.00;159
BB_DFS;6;1;1000;324;324;0.00;95
BB_DFS;6;1;1000;157;157;0.00;90
BB_DFS;6;1;1000;178;178;0.00;143
BB_DFS;6;1;1000;300;300;0.00;78
BB_DFS;6;1;1000;234;234;0.00;52
BB_DFS;6;1;1000;205;205;0.00;107
BB_DFS;6;1;1000;367;367;0.00;164
BB_DFS;6;1;1000;172;172;0.00;67
BB_DFS;6;1;1000;252;252;0.00;89
BB_DFS;6;1;1000;254;254;0.00;101
BB_DFS;6;1;1000;302;302;0.00;118
BB_DFS;6;1;1000;245;245;0.00;72
BB_DFS;6;1;1000;380;380;0.00;104
BB_DFS;7;1;1000;336;336;0.00;273
BB_DFS;7;1;1000;277;277;0.00;219
BB_DFS;7;1;1000;278;278;0.00;256
BB_DFS;7;1;1000;327;327;0.00;186
BB_DFS;7;1;1000;213;213;0.00;195
BB_DFS;7;1;1000;236;236;0.00;268
BB_DFS;7;1;1000;341;341;0.00;227
BB_DFS;7;1;1000;286;286;0.00;247
BB_DFS;7;1;1000;265;265;0.00;157
BB_DFS;7;1;1000;298;298;0.00;294
BB_DFS;7;1;1000;254;254;0.00;221
BB_DFS;7;1;1000;402;402;0.00;454
BB_DFS;7;1;1000;198;198;0.00;165
BB_DFS;7;1;1000;240;240;0.00;154
BB_DFS;7;1;1000;237;237;0.00;146
BB_DFS;7;1;1000;438;438;0.00;416
BB_DFS;7;1;1000;338;338;0.00;316
BB_DFS;7;1;1000;281;281;0.00;305
BB_DFS;7;1;1000;207;207;0.00;268
BB_DFS;7;1;1000;397;397;0.00;346
BB_DFS;8;1;1000;267;267;0.00;545
BB_DFS;8;1;1000;425;425;0.00;2422
BB_DFS;8;1;1000;324;324;0.00;813
BB_DFS;8;1;1000;287;287;0.00;882
BB_DFS;8;1;1000;311;311;0.00;897
BB_DFS;8;1;1000;358;358;0.00;1362
BB_DFS;8;1;1000;278;278;0.00;511
BB_DFS;8;1;1000;268;268;0.00;577
BB_DFS;8;1;1000;393;393;0.00;1105
BB_DFS;8;1;1000;270;270;0.00;983
BB_DFS;8;1;1000;220;220;0.00;602
BB_DFS;8;1;1000;393;393;0.00;1153
BB_DFS;8;1;1000;260;260;0.00;851
BB_DFS;8;1;1000;248;248;0.00;892
BB_DFS;8;1;1000;269;269;0.00;718
BB_DFS;8;1;1000;316;316;0.00;1637
BB_DFS;8;1;1000;276;276;0.00;888
BB_DFS;8;1;1000;293;293;0.00;464
BB_DFS;8;1;1000;405;405;0.00;1703
BB_DFS;8;1;1000;410;410;0.00;1755
BB_DFS;9;1;1000;348;348;0.00;1669
BB_DFS;9;1;1000;308;308;0.00;4445
BB_DFS;9;1;1000;373;373;0.00;1679
BB_DFS;9;1;1000;266;266;0.00;1983
BB_DFS;9;1;1000;315;315;0.00;2855
BB_DFS;9;1;1000;360;360;0.00;2997
BB_DFS;9;1;1000;267;267;0.00;638
BB_DFS;9;1;1000;319;319;0.00;1694
BB_DFS;9;1;1000;250;250;0.00;2490
BB_DFS;9;1;1000;336;336;0.00;2884
BB_DFS;9;1;1000;342;342;0.00;2228
BB_DFS;9;1;1000;269;269;0.00;1062
BB_DFS;9;1;1000;292;292;0.00;3200
BB_DFS;9;1;1000;406;406;0.00;5154
BB_DFS;9;1;1000;424;424;0.00;4836
BB_DFS;9;1;1000;305;305;0.00;2128
BB_DFS;9;1;1000;248;248;0.00;1691
BB_DFS;9;1;1000;295;295;0.00;1943
BB_DFS;9;1;1000;335;335;0.00;1912
BB_DFS;9;1;1000;381;381;0.00;4800
BB_DFS;10;1;1000;321;321;0.00;16044
BB_DFS;10;1;1000;370;370;0.00;4590
BB_DFS;10;1;1000;340;340;0.00;6183
BB_DFS;10;1;1000;424;424;0.00;13727
BB_DFS;10;1;1000;139;139;0.00;2911
BB_DFS;10;1;1000;296;296;0.00;3614
BB_DFS;10;1;1000;272;272;0.00;3389
BB_DFS;10;1;1000;403;403;0.00;15417
BB_DFS;10;1;1000;374;374;0.00;16911
BB_DFS;10;1;1000;255;255;0.00;5124
BB_DFS;10;1;1000;190;190;0.00;1640
BB_DFS;10;1;1000;268;268;0.00;1787
BB_DFS;10;1;1000;325;325;0.00;13358
BB_DFS;10;1;1000;276;276;0.00;12430
BB_DFS;10;1;1000;361;361;0.00;15224
BB_DFS;10;1;1000;226;226;0.00;1692
BB_DFS;10;1;1000;302;302;0.00;4831
BB_DFS;10;1;1000;354;354;0.00;10285
BB_DFS;10;1;1000;214;214;0.00;2911
BB_DFS;10;1;1000;260;260;0.00;5805
BB_DFS;11;1;1000;215;215;0.00;5517
BB_DFS;11;1;1000;316;316;0.00;22078
BB_DFS;11;1;1000;355;355;0.00;42280
BB_DFS;11;1;1000;298;298;0.00;10891
BB_DFS;11;1;1000;322;322;0.00;13376
BB_DFS;11;1;1000;347;347;0.00;15280
BB_DFS;11;1;1000;332;332;0.00;33853
BB_DFS;11;1;1000;385;385;0.00;35108
BB_DFS;11;1;1000;244;244;0.00;18160
BB_DFS;11;1;1000;286;286;0.00;15109
BB_DFS;11;1;1000;225;225;0.00;3963
BB_DFS;11;1;1000;449;449;0.00;54925
BB_DFS;11;1;1000;355;355;0.00;20692
BB_DFS;11;1;1000;340;340;0.00;20868
BB_DFS;11;1;1000;226;226;0.00;10570
BB_DFS;11;1;1000;240;240;0.00;14240
BB_DFS;11;1;1000;206;206;0.00;4276
BB_DFS;11;1;1000;353;353;0.00;24067
BB_DFS;11;1;1000;328;328;0.00;48738
BB_DFS;11;1;1000;329;329;0.00;25519
