Algorytm;Rozmiar;Repetycje;Iteracje_RAND;Koszt;Optimum;Blad_wzgledny_%;Czas_us 
BB_DFS;5;1;1000;286;286;0.00;409
BB_DFS;5;1;1000;338;338;0.00;50
BB_DFS;5;1;1000;414;414;0.00;51
BB_DFS;5;1;1000;366;366;0.00;49
BB_DFS;5;1;1000;97;97;0.00;36
BB_DFS;5;1;1000;119;119;0.00;42
BB_DFS;5;1;1000;420;420;0.00;44
BB_DFS;5;1;1000;535;535;0.00;56
BB_DFS;5;1;1000;308;308;0.00;44
BB_DFS;5;1;1000;369;369;0.00;47
BB_DFS;5;1;1000;203;203;0.00;41
BB_DFS;5;1;1000;202;202;0.00;32
BB_DFS;5;1;1000;293;293;0.00;38
BB_DFS;5;1;1000;422;422;0.00;45
BB_DFS;5;1;1000;217;217;0.00;35
BB_DFS;5;1;1000;371;371;0.00;46
BB_DFS;5;1;1000;366;366;0.00;51
BB_DFS;5;1;1000;270;270;0.00;44
BB_DFS;5;1;1000;229;229;0.00;43
BB_DFS;5;1;1000;481;481;0.00;55
BB_DFS;6;1;1000;263;263;0.00;94
BB_DFS;6;1;1000;434;434;0.00;162
BB_DFS;6;1;1000;271;271;0.00;113
BB_DFS;6;1;1000;307;307;0.00;148
BB_DFS;6;1;1000;255;255;0.00;91
BB_DFS;6;1;1000;280;280;0.00;101
BB_DFS;6;1;1000;339;339;0.00;130
BB_DFS;6;1;1000;437;437;0.00;137
BB_DFS;6;1;1000;334;334;0.00;139
BB_DFS;6;1;1000;388;388;0.00;119
BB_DFS;6;1;1000;328;328;0.00;114
BB_DFS;6;1;1000;325;325;0.00;124
BB_DFS;6;1;1000;193;193;0.00;97
BB_DFS;6;1;1000;410;410;0.00;110
BB_DFS;6;1;1000;441;441;0.00;121
BB_DFS;6;1;1000;351;351;0.00;124
BB_DFS;6;1;1000;342;342;0.00;109
BB_DFS;6;1;1000;434;434;0.00;154
BB_DFS;6;1;1000;319;319;0.00;107
BB_DFS;6;1;1000;217;217;0.00;98
BB_DFS;7;1;1000;183;183;0.00;271
BB_DFS;7;1;1000;461;461;0.00;536
BB_DFS;7;1;1000;499;499;0.00;635
BB_DFS;7;1;1000;325;325;0.00;303
BB_DFS;7;1;1000;379;379;0.00;369
BB_DFS;7;1;1000;282;282;0.00;169
BB_DFS;7;1;1000;405;405;0.00;502
BB_DFS;7;1;1000;550;550;0.00;488
BB_DFS;7;1;1000;266;266;0.00;188
BB_DFS;7;1;1000;403;403;0.00;376
BB_DFS;7;1;1000;386;386;0.00;419
BB_DFS;7;1;1000;443;443;0.00;429
BB_DFS;7;1;1000;362;362;0.00;364
BB_DFS;7;1;1000;357;357;0.00;467
BB_DFS;7;1;1000;519;519;0.00;413
BB_DFS;7;1;1000;391;391;0.00;431
