Algorytm;Rozmiar;Repetycje;Iteracje_RAND;Koszt;Optimum;Blad_wzgledny_%;Czas_us
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;5;100;1000;163;133;22.56;0
NN;6;100;1000;162;150;8.00;0
NN;6;100;1000;162;150;8.00;0
NN;6;100;1000;162;150;8.00;0
NN;6;100;1000;162;150;8.00;0
NN;6;100;1000;162;150;8.00;0
NN;6;100;1000;162;150;8.00;0
NN;6;100;1000;162;150;8.00;0
NN;6;100;1000;162;150;8.00;0
NN;6;100;1000;162;150;8.00;0
NN;6;100;1000;162;150;8.00;0
NN;6;100;1000;162;150;8.00;0
NN;6;100;1000;162;150;8.00;0
NN;6;100;1000;162;150;8.00;0
NN;6;100;1000;162;150;8.00;0
NN;6;100;1000;162;150;8.00;0
NN;6;100;1000;162;150;8.00;0
NN;6;100;1000;162;150;8.00;0
NN;6;100;1000;162;150;8.00;0
NN;6;100;1000;162;150;8.00;0
NN;6;100;1000;162;150;8.00;0
NN;6;100;1000;162;150;8.00;0
