Algorytm;Rozmiar;Repetycje;Iteracje_RAND;Koszt;Optimum;Blad_wzgledny_%;Czas_us
NN;5;100;1000;253;253;0.00;1
NN;5;100;1000;253;253;0.00;1
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
NN;5;100;1000;253;253;0.00;0
