Algorytm;Rozmiar;Repetycje;Iteracje_RAND;Koszt;Optimum;Blad_wzgledny_%;Czas_us
BF;12;10;1000000;17561618;17561618;0.00;256651
BF;12;10;1000000;17561618;17561618;0.00;258693
BF;12;10;1000000;17561618;17561618;0.00;267992
BF;12;10;1000000;17561618;17561618;0.00;304379
BF;12;10;1000000;17561618;17561618;0.00;280124
BF;12;10;1000000;17561618;17561618;0.00;257036
BF;12;10;1000000;17561618;17561618;0.00;261999
BF;12;10;1000000;17561618;17561618;0.00;262125
BF;12;10;1000000;17561618;17561618;0.00;260729
BF;12;10;1000000;17561618;17561618;0.00;261140
BF;12;10;1000000;-1036;-1036;0.00;259588
BF;12;10;1000000;-1036;-1036;0.00;258519
BF;12;10;1000000;-1036;-1036;0.00;259852
BF;12;10;1000000;-1036;-1036;0.00;261012
BF;12;10;1000000;-1036;-1036;0.00;259089
BF;12;10;1000000;-1036;-1036;0.00;269683
BF;12;10;1000000;-1036;-1036;0.00;265436
BF;12;10;1000000;-1036;-1036;0.00;256256
BF;12;10;1000000;-1036;-1036;0.00;259556
BF;12;10;1000000;-1036;-1036;0.00;261010
