Algorytm;Rozmiar;Repetycje;Iteracje_RAND;Koszt;Optimum;Blad_wzgledny_%;Czas_us
RAND;5;100;1000000;133;133;0.00;59806
RAND;5;100;1000000;133;133;0.00;59126
RAND;5;100;1000000;133;133;0.00;59038
RAND;5;100;1000000;133;133;0.00;59068
RAND;5;100;1000000;133;133;0.00;50695
RAND;5;100;1000000;133;133;0.00;36914
RAND;5;100;1000000;133;133;0.00;36990
RAND;5;100;1000000;133;133;0.00;37036
RAND;5;100;1000000;133;133;0.00;36966
RAND;5;100;1000000;133;133;0.00;36887
RAND;5;100;1000000;133;133;0.00;36942
RAND;5;100;1000000;133;133;0.00;36932
RAND;5;100;1000000;133;133;0.00;36887
RAND;5;100;1000000;133;133;0.00;37054
RAND;5;100;1000000;133;133;0.00;36918
RAND;5;100;1000000;133;133;0.00;36863
RAND;5;100;1000000;133;133;0.00;36926
RAND;5;100;1000000;133;133;0.00;36931
RAND;5;100;1000000;133;133;0.00;36924
RAND;5;100;1000000;133;133;0.00;36892
RAND;5;100;1000000;133;133;0.00;36907
RAND;5;100;1000000;133;133;0.00;36907
RAND;5;100;1000000;133;133;0.00;36897
RAND;5;100;1000000;133;133;0.00;36928
RAND;5;100;1000000;133;133;0.00;36921
RAND;5;100;1000000;133;133;0.00;36895
RAND;5;100;1000000;133;133;0.00;36941
RAND;5;100;1000000;133;133;0.00;36898
RAND;5;100;1000000;133;133;0.00;36884
RAND;5;100;1000000;133;133;0.00;37131
RAND;5;100;1000000;133;133;0.00;36927
RAND;5;100;1000000;133;133;0.00;36954
RAND;5;100;1000000;133;133;0.00;36883
RAND;5;100;1000000;133;133;0.00;36890
RAND;5;100;1000000;133;133;0.00;36906
RAND;5;100;1000000;133;133;0.00;36913
RAND;5;100;1000000;133;133;0.00;37093
RAND;5;100;1000000;133;133;0.00;36870
RAND;5;100;1000000;133;133;0.00;37170
RAND;5;100;1000000;133;133;0.00;36957
RAND;5;100;1000000;133;133;0.00;37173
RAND;5;100;1000000;133;133;0.00;36880
RAND;5;100;1000000;133;133;0.00;36899
RAND;5;100;1000000;133;133;0.00;36728
RAND;5;100;1000000;133;133;0.00;37160
RAND;5;100;1000000;133;133;0.00;37361
RAND;5;100;1000000;133;133;0.00;36940
RAND;5;100;1000000;133;133;0.00;36921
RAND;5;100;1000000;133;133;0.00;36909
RAND;5;100;1000000;133;133;0.00;36899
RAND;5;100;1000000;133;133;0.00;36929
RAND;5;100;1000000;133;133;0.00;37037
RAND;5;100;1000000;133;133;0.00;36932
RAND;5;100;1000000;133;133;0.00;36945
RAND;5;100;1000000;133;133;0.00;37980
RAND;5;100;1000000;133;133;0.00;36410
RAND;5;100;1000000;133;133;0.00;36411
RAND;5;100;1000000;133;133;0.00;36388
RAND;5;100;1000000;133;133;0.00;36386
RAND;5;100;1000000;133;133;0.00;36386
RAND;5;100;1000000;133;133;0.00;36461
RAND;5;100;1000000;133;133;0.00;36354
RAND;5;100;1000000;133;133;0.00;36488
RAND;5;100;1000000;133;133;0.00;36434
RAND;5;100;1000000;133;133;0.00;36452
RAND;5;100;1000000;133;133;0.00;37150
RAND;5;100;1000000;133;133;0.00;36389
RAND;5;100;1000000;133;133;0.00;36972
RAND;5;100;1000000;133;133;0.00;36654
RAND;5;100;1000000;133;133;0.00;36916
RAND;5;100;1000000;133;133;0.00;36816
RAND;5;100;1000000;133;133;0.00;36588
RAND;5;100;1000000;133;133;0.00;37176
RAND;5;100;1000000;133;133;0.00;37098
RAND;5;100;1000000;133;133;0.00;36436
RAND;5;100;1000000;133;133;0.00;37268
RAND;5;100;1000000;133;133;0.00;37151
RAND;5;100;1000000;133;133;0.00;36428
RAND;5;100;1000000;133;133;0.00;37680
RAND;5;100;1000000;133;133;0.00;37181
RAND;5;100;1000000;133;133;0.00;37241
RAND;5;100;1000000;133;133;0.00;37123
RAND;5;100;1000000;133;133;0.00;36762
RAND;5;100;1000000;133;133;0.00;37310
RAND;5;100;1000000;133;133;0.00;36496
RAND;5;100;1000000;133;133;0.00;36605
RAND;5;100;1000000;133;133;0.00;37914
RAND;5;100;1000000;133;133;0.00;37020
RAND;5;100;1000000;133;133;0.00;36755
RAND;5;100;1000000;133;133;0.00;36555
RAND;5;100;1000000;133;133;0.00;37612
RAND;5;100;1000000;133;133;0.00;37874
RAND;5;100;1000000;133;133;0.00;37314
RAND;5;100;1000000;133;133;0.00;37383
RAND;5;100;1000000;133;133;0.00;36924
RAND;5;100;1000000;133;133;0.00;36837
RAND;5;100;1000000;133;133;0.00;36565
RAND;5;100;1000000;133;133;0.00;36548
RAND;5;100;1000000;133;133;0.00;36727
RAND;5;100;1000000;133;133;0.00;37152
RAND;6;100;1000000;150;150;0.00;67020
RAND;6;100;1000000;150;150;0.00;66905
RAND;6;100;1000000;150;150;0.00;66471
RAND;6;100;1000000;150;150;0.00;65549
RAND;6;100;1000000;150;150;0.00;44770
RAND;6;100;1000000;150;150;0.00;41373
RAND;6;100;1000000;150;150;0.00;41554
RAND;6;100;1000000;150;150;0.00;41779
RAND;6;100;1000000;150;150;0.00;42083
RAND;6;100;1000000;150;150;0.00;41813
RAND;6;100;1000000;150;150;0.00;41286
RAND;6;100;1000000;150;150;0.00;42290
RAND;6;100;1000000;150;150;0.00;42574
RAND;6;100;1000000;150;150;0.00;42169
RAND;6;100;1000000;150;150;0.00;42242
RAND;6;100;1000000;150;150;0.00;42104
RAND;6;100;1000000;150;150;0.00;42339
RAND;6;100;1000000;150;150;0.00;42140
RAND;6;100;1000000;150;150;0.00;41758
RAND;6;100;1000000;150;150;0.00;41775
RAND;6;100;1000000;150;150;0.00;42378
RAND;6;100;1000000;150;150;0.00;41865
RAND;6;100;1000000;150;150;0.00;41879
RAND;6;100;1000000;150;150;0.00;41634
RAND;6;100;1000000;150;150;0.00;41957
RAND;6;100;1000000;150;150;0.00;41891
RAND;6;100;1000000;150;150;0.00;42849
RAND;6;100;1000000;150;150;0.00;42216
RAND;6;100;1000000;150;150;0.00;42564
RAND;6;100;1000000;150;150;0.00;42385
RAND;6;100;1000000;150;150;0.00;41780
