Algorytm;Rozmiar;Repetycje;Iteracje_RAND;Koszt;Optimum;Blad_wzgledny_%;Czas_us
RAND;5;100;1000000;253;253;0.00;67848
RAND;5;100;1000000;253;253;0.00;60888
RAND;5;100;1000000;253;253;0.00;62396
RAND;5;100;1000000;253;253;0.00;58603
RAND;5;100;1000000;253;253;0.00;48277
RAND;5;100;1000000;253;253;0.00;39799
RAND;5;100;1000000;253;253;0.00;38156
RAND;5;100;1000000;253;253;0.00;41441
RAND;5;100;1000000;253;253;0.00;38899
RAND;5;100;1000000;253;253;0.00;37461
RAND;5;100;1000000;253;253;0.00;40916
RAND;5;100;1000000;253;253;0.00;38597
RAND;5;100;1000000;253;253;0.00;41852
RAND;5;100;1000000;253;253;0.00;37480
RAND;5;100;1000000;253;253;0.00;38711
RAND;5;100;1000000;253;253;0.00;36929
RAND;5;100;1000000;253;253;0.00;40350
RAND;5;100;1000000;253;253;0.00;38824
RAND;5;100;1000000;253;253;0.00;36834
RAND;5;100;1000000;253;253;0.00;38102
RAND;5;100;1000000;253;253;0.00;38993
RAND;5;100;1000000;253;253;0.00;37271
RAND;5;100;1000000;253;253;0.00;36689
RAND;5;100;1000000;253;253;0.00;40280
RAND;5;100;1000000;253;253;0.00;38391
RAND;5;100;1000000;253;253;0.00;37034
RAND;5;100;1000000;253;253;0.00;40545
RAND;5;100;1000000;253;253;0.00;38529
RAND;5;100;1000000;253;253;0.00;38247
RAND;5;100;1000000;253;253;0.00;37704
RAND;5;100;1000000;253;253;0.00;39165
RAND;5;100;1000000;253;253;0.00;37601
RAND;5;100;1000000;253;253;0.00;40939
RAND;5;100;1000000;253;253;0.00;38936
RAND;5;100;1000000;253;253;0.00;37326
RAND;5;100;1000000;253;253;0.00;36658
RAND;5;100;1000000;253;253;0.00;36643
RAND;5;100;1000000;253;253;0.00;36596
RAND;5;100;1000000;253;253;0.00;36469
RAND;5;100;1000000;253;253;0.00;36475
RAND;5;100;1000000;253;253;0.00;40881
RAND;5;100;1000000;253;253;0.00;38774
RAND;5;100;1000000;253;253;0.00;37357
RAND;5;100;1000000;253;253;0.00;40658
RAND;5;100;1000000;253;253;0.00;39875
RAND;5;100;1000000;253;253;0.00;36948
RAND;5;100;1000000;253;253;0.00;40011
RAND;5;100;1000000;253;253;0.00;38683
RAND;5;100;1000000;253;253;0.00;37223
RAND;5;100;1000000;253;253;0.00;40685
RAND;5;100;1000000;253;253;0.00;38674
RAND;5;100;1000000;253;253;0.00;37267
RAND;5;100;1000000;253;253;0.00;40715
RAND;5;100;1000000;253;253;0.00;38146
RAND;5;100;1000000;253;253;0.00;37535
RAND;5;100;1000000;253;253;0.00;41219
RAND;5;100;1000000;253;253;0.00;38359
RAND;5;100;1000000;253;253;0.00;37151
RAND;5;100;1000000;253;253;0.00;40211
RAND;5;100;1000000;253;253;0.00;39996
RAND;5;100;1000000;253;253;0.00;36965
RAND;5;100;1000000;253;253;0.00;40578
RAND;5;100;1000000;253;253;0.00;38582
RAND;5;100;1000000;253;253;0.00;37171
RAND;5;100;1000000;253;253;0.00;40643
RAND;5;100;1000000;253;253;0.00;38601
