Algorytm;Rozmiar;Repetycje;Iteracje_RAND;Koszt;Optimum;Blad_wzgledny_%;Czas_us
RNN;5;100;1000;163;133;22.56;4
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;2
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;2
RNN;5;100;1000;163;133;22.56;2
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;2
RNN;5;100;1000;163;133;22.56;2
RNN;5;100;1000;163;133;22.56;2
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;2
RNN;5;100;1000;163;133;22.56;2
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;2
RNN;5;100;1000;163;133;22.56;2
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;2
RNN;5;100;1000;163;133;22.56;2
RNN;5;100;1000;163;133;22.56;2
RNN;5;100;1000;163;133;22.56;2
RNN;5;100;1000;163;133;22.56;2
RNN;5;100;1000;163;133;22.56;2
RNN;5;100;1000;163;133;22.56;2
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;2
RNN;5;100;1000;163;133;22.56;2
RNN;5;100;1000;163;133;22.56;2
RNN;5;100;1000;163;133;22.56;2
RNN;5;100;1000;163;133;22.56;2
RNN;5;100;1000;163;133;22.56;2
RNN;5;100;1000;163;133;22.56;2
RNN;5;100;1000;163;133;22.56;2
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;2
RNN;5;100;1000;163;133;22.56;2
RNN;5;100;1000;163;133;22.56;2
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;1
RNN;5;100;1000;163;133;22.56;2
RNN;6;100;1000;150;150;0.00;8
RNN;6;100;1000;150;150;0.00;5
RNN;6;100;1000;150;150;0.00;5
RNN;6;100;1000;150;150;0.00;4
RNN;6;100;1000;150;150;0.00;4
RNN;6;100;1000;150;150;0.00;4
RNN;6;100;1000;150;150;0.00;4
RNN;6;100;1000;150;150;0.00;4
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;4
RNN;6;100;1000;150;150;0.00;4
RNN;6;100;1000;150;150;0.00;4
RNN;6;100;1000;150;150;0.00;4
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;4
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;4
RNN;6;100;1000;150;150;0.00;4
RNN;6;100;1000;150;150;0.00;4
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;5
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;4
RNN;6;100;1000;150;150;0.00;5
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
RNN;6;100;1000;150;150;0.00;3
