Algorytm;Rozmiar;Repetycje;Iteracje_RAND;Koszt;Optimum;Blad_wzgledny_%;Czas_us
RNN;5;100;1000;253;253;0.00;6
RNN;5;100;1000;253;253;0.00;2
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;2
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;2
RNN;5;100;1000;253;253;0.00;2
RNN;5;100;1000;253;253;0.00;2
RNN;5;100;1000;253;253;0.00;2
RNN;5;100;1000;253;253;0.00;2
RNN;5;100;1000;253;253;0.00;2
RNN;5;100;1000;253;253;0.00;2
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;2
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;2
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;2
RNN;5;100;1000;253;253;0.00;2
RNN;5;100;1000;253;253;0.00;2
RNN;5;100;1000;253;253;0.00;2
RNN;5;100;1000;253;253;0.00;2
RNN;5;100;1000;253;253;0.00;2
RNN;5;100;1000;253;253;0.00;2
RNN;5;100;1000;253;253;0.00;2
RNN;5;100;1000;253;253;0.00;2
RNN;5;100;1000;253;253;0.00;2
RNN;5;100;1000;253;253;0.00;2
RNN;5;100;1000;253;253;0.00;2
RNN;5;100;1000;253;253;0.00;2
RNN;5;100;1000;253;253;0.00;2
RNN;5;100;1000;253;253;0.00;2
RNN;5;100;1000;253;253;0.00;2
RNN;5;100;1000;253;253;0.00;2
RNN;5;100;1000;253;253;0.00;2
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;2
RNN;5;100;1000;253;253;0.00;2
RNN;5;100;1000;253;253;0.00;2
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;2
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;3
RNN;5;100;1000;253;253;0.00;3
