Algorytm;Rozmiar;Repetycje;UB_Strategy;Sasiedztwo;TS_MaxIter;TS_Tenure;TS_Asp;Koszt;Optimum;Blad_wzgledny_%;Czas_us
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;181;181;0.00;146
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;192;192;0.00;183
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;217;217;0.00;145
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;143;143;0.00;150
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;181;181;0.00;147
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;201;201;0.00;206
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;194;194;0.00;146
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;128;128;0.00;153
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;82;82;0.00;173
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;125;125;0.00;149
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;152;152;0.00;184
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;118;118;0.00;149
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;172;172;0.00;147
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;114;114;0.00;184
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;122;122;0.00;147
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;188;184;2.17;146
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;171;171;0.00;148
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;102;102;0.00;145
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;196;196;0.00;183
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;143;143;0.00;152
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;87;87;0.00;244
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;139;139;0.00;234
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;211;211;0.00;253
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;197;197;0.00;237
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;183;183;0.00;236
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;187;187;0.00;245
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;220;220;0.00;233
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;174;174;0.00;236
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;89;89;0.00;234
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;89;89;0.00;231
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;168;158;6.33;289
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;117;117;0.00;236
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;104;104;0.00;230
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;202;202;0.00;232
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;86;86;0.00;233
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;133;133;0.00;264
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;133;133;0.00;236
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;157;157;0.00;302
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;138;138;0.00;296
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;190;190;0.00;239
TABU_SEARCH;7;1;RNN;TWO_OPT;1000;3;1;168;168;0.00;324
TABU_SEARCH;7;1;RNN;TWO_OPT;1000;3;1;144;144;0.00;263
TABU_SEARCH;7;1;RNN;TWO_OPT;1000;3;1;139;139;0.00;260
TABU_SEARCH;7;1;RNN;TWO_OPT;1000;3;1;173;173;0.00;329
TABU_SEARCH;7;1;RNN;TWO_OPT;1000;3;1;116;116;0.00;279
TABU_SEARCH;7;1;RNN;TWO_OPT;1000;3;1;125;125;0.00;285
TABU_SEARCH;7;1;RNN;TWO_OPT;1000;3;1;173;173;0.00;273
TABU_SEARCH;7;1;RNN;TWO_OPT;1000;3;1;143;143;0.00;324
TABU_SEARCH;7;1;RNN;TWO_OPT;1000;3;1;135;135;0.00;321
TABU_SEARCH;7;1;RNN;TWO_OPT;1000;3;1;165;165;0.00;328
TABU_SEARCH;7;1;RNN;TWO_OPT;1000;3;1;128;128;0.00;319
TABU_SEARCH;7;1;RNN;TWO_OPT;1000;3;1;201;201;0.00;278
TABU_SEARCH;7;1;RNN;TWO_OPT;1000;3;1;99;99;0.00;258
TABU_SEARCH;7;1;RNN;TWO_OPT;1000;3;1;122;122;0.00;320
TABU_SEARCH;7;1;RNN;TWO_OPT;1000;3;1;129;129;0.00;261
TABU_SEARCH;7;1;RNN;TWO_OPT;1000;3;1;219;219;0.00;262
TABU_SEARCH;7;1;RNN;TWO_OPT;1000;3;1;188;188;0.00;257
TABU_SEARCH;7;1;RNN;TWO_OPT;1000;3;1;149;149;0.00;309
TABU_SEARCH;7;1;RNN;TWO_OPT;1000;3;1;107;105;1.90;260
TABU_SEARCH;7;1;RNN;TWO_OPT;1000;3;1;214;214;0.00;259
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;138;138;0.00;420
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;215;215;0.00;351
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;168;168;0.00;363
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;162;162;0.00;465
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;160;160;0.00;426
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;182;182;0.00;383
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;140;140;0.00;345
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;147;147;0.00;345
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;212;212;0.00;347
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;148;148;0.00;352
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;110;110;0.00;357
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;213;208;2.40;348
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;136;130;4.62;348
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;127;125;1.60;347
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;137;137;0.00;343
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;158;158;0.00;344
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;149;149;0.00;431
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;165;163;1.23;438
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;218;218;0.00;373
TABU_SEARCH;8;1;RNN;TWO_OPT;1000;4;1;205;205;0.00;438
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;179;179;0.00;375
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;184;154;19.48;415
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;198;198;0.00;374
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;138;138;0.00;366
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;158;158;0.00;441
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;202;202;0.00;383
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;134;134;0.00;391
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;164;164;0.00;378
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;129;129;0.00;408
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;188;188;0.00;371
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;176;176;0.00;377
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;146;143;2.10;373
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;182;146;24.66;381
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;209;203;2.96;369
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;214;214;0.00;371
TABU_SEARCH;9;1;RNN;TWO_OPT;1000;4;1;155;155;0.00;401
