Algorytm;Rozmiar;Repetycje;UB_Strategy;Sasiedztwo;TS_MaxIter;TS_Tenure;TS_Asp;Koszt;Optimum;Blad_wzgledny_%;Czas_us
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;175;175;0.00;221
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;169;169;0.00;223
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;215;215;0.00;357
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;211;211;0.00;250
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;52;52;0.00;278
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;67;67;0.00;218
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;221;221;0.00;283
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;272;272;0.00;271
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;161;161;0.00;226
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;189;189;0.00;345
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;109;109;0.00;220
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;101;101;0.00;277
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;152;152;0.00;368
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;236;236;0.00;273
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;138;138;0.00;221
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;222;222;0.00;405
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;183;183;0.00;281
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;148;148;0.00;220
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;133;133;0.00;333
TABU_SEARCH;5;1;RNN;TWO_OPT;1000;2;1;242;242;0.00;278
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;145;145;0.00;383
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;232;232;0.00;298
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;180;180;0.00;298
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;185;185;0.00;316
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;149;149;0.00;303
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;160;160;0.00;397
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;194;194;0.00;305
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;223;223;0.00;300
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;167;167;0.00;383
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;194;194;0.00;304
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;185;185;0.00;298
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;167;167;0.00;561
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;108;108;0.00;348
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;211;211;0.00;298
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;231;231;0.00;337
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;187;187;0.00;323
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;172;172;0.00;310
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;225;225;0.00;302
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;183;183;0.00;307
TABU_SEARCH;6;1;RNN;TWO_OPT;1000;3;1;117;117;0.00;296
TABU_SEARCH;7;1;RNN;TWO_OPT;1000;3;1;101;101;0.00;371
TABU_SEARCH;7;1;RNN;TWO_OPT;1000;3;1;243;243;0.00;297
