Algorytm;Rozmiar;Repetycje;UB_Strategy;Sasiedztwo;TS_MaxIter;TS_Tenure;TS_Asp;Koszt;Optimum;Blad_wzgledny_%;Czas_us
TABU_SEARCH;17;1;RNN;TWO_OPT;1700;8;1;39;39;0.00;1394
TABU_SEARCH;53;1;RNN;TWO_OPT;5300;26;1;8082;6905;17.05;35225
TABU_SEARCH;70;1;RNN;TWO_OPT;7000;35;1;40874;38673;5.69;78996
TABU_SEARCH;171;1;RNN;TWO_OPT;17000;85;1;3527;2755;28.02;1147131
TABU_SEARCH;34;1;RNN;TWO_OPT;3300;16;1;1507;1286;17.19;12963
TABU_SEARCH;36;1;RNN;TWO_OPT;3500;17;1;1660;1473;12.70;11066
TABU_SEARCH;39;1;RNN;TWO_OPT;3800;19;1;1658;1530;8.37;13931
TABU_SEARCH;45;1;RNN;TWO_OPT;4400;22;1;1807;1613;12.03;20935
TABU_SEARCH;48;1;RNN;TWO_OPT;4700;23;1;2015;1776;13.46;30532
TABU_SEARCH;56;1;RNN;TWO_OPT;5500;27;1;1747;1608;8.64;39974
TABU_SEARCH;65;1;RNN;TWO_OPT;6400;32;1;2170;1839;18.00;62233
TABU_SEARCH;71;1;RNN;TWO_OPT;7000;35;1;2174;1950;11.49;80651
TABU_SEARCH;100;1;RNN;TWO_OPT;12400;62;1;40255;36230;11.11;300290
TABU_SEARCH;48;1;RNN;TWO_OPT;4800;24;1;14670;14422;1.72;26250
