Algorytm;Rozmiar;Repetycje;UB_Strategy;Sasiedztwo;TS_MaxIter;TS_Tenure;TS_Asp;Koszt;Optimum;Blad_wzgledny_%;Czas_us
TABU_SEARCH;48;1;RNN;TWO_OPT;4800;24;1;34513;10628;224.74;26444
TABU_SEARCH;532;1;RNN;TWO_OPT;53200;266;1;88639;27686;220.16;38206266
TABU_SEARCH;52;1;RNN;TWO_OPT;5200;26;1;7711;7542;2.24;32488
TABU_SEARCH;127;1;RNN;TWO_OPT;12700;63;1;120518;118282;1.89;470332
TABU_SEARCH;14;1;RNN;TWO_OPT;1400;7;1;30;3323;-99.10;936
TABU_SEARCH;130;1;RNN;TWO_OPT;13000;65;1;6258;6110;2.42;514051
TABU_SEARCH;150;1;RNN;TWO_OPT;15000;75;1;6555;6528;0.41;766012
TABU_SEARCH;657;1;RNN;TWO_OPT;65700;328;1;50455;48912;3.15;72104533
TABU_SEARCH;1000;1;RNN;TWO_OPT;100000;500;1;19359102;18659688;3.75;295465895
TABU_SEARCH;51;1;RNN;TWO_OPT;5100;25;1;427;426;0.23;31016
TABU_SEARCH;76;1;RNN;TWO_OPT;7600;38;1;550;538;2.23;101188
